tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt12287748,tvSeries,Yashahime: Princess Half-Demon,Hanyô no Yashahime,0,2020,,,"Action, Adventure, Animation",7.0,1333
tt12287880,tvSeries,Karamora,Karamora,0,2022,2022,52,"Fantasy, History, Thriller",6.0,400
tt12291006,tvSeries,OverSimplified,OverSimplified,0,2016,2024,,"Animation, Comedy, Documentary",9.2,334
tt12291822,tvMiniSeries,Hyperventilation,Hyperventilation,0,2017,2017,3,"Animation, Drama, Romance",7.5,801
tt1229284,tvSeries,Eurotika!,Eurotika!,0,1999,,,Documentary,7.9,60
tt1229295,tvSeries,I Love Money,I Love Money,0,2008,,,"Game-Show, Reality-TV",6.2,949
tt1229304,tvSeries,Mondo Macabro,Mondo Macabro,0,2001,2002,25,Documentary,7.9,31
tt1229401,tvSeries,Gary Unmarried,Gary Unmarried,0,2008,2010,30,Comedy,6.7,5937
tt1229413,tvSeries,Hung,Hung,0,2009,2011,30,"Comedy, Drama",7.2,23583
tt12294152,tvSeries,The Simpsons: Tracey Ullman Shorts,The Simpsons: Tracey Ullman Shorts,0,1987,1989,2,"Animation, Comedy, Short",7.4,285
tt1229461,tvSeries,Raven Tales,Raven Tales,0,2004,,,Animation,7.4,37
tt1229467,tvSeries,The Alaska Experiment,The Alaska Experiment,0,2008,,,Reality-TV,8.1,120
tt12296116,tvSeries,4th and Forever: Muck City,4th and Forever: Muck City,0,2020,,,"Documentary, Drama, Sport",7.7,51
tt1229770,tvSeries,Mala conducta,Mala conducta,0,2008,2008,,Comedy,6.5,15
tt12298504,tvSeries,Wo hao xi huan ni,Wo hao xi huan ni,0,2020,,45,Romance,7.1,203
tt1229901,tvSeries,Dangerous Missions,Dangerous Missions,0,1999,2002,,"Documentary, War",7.6,15
tt1229903,tvMiniSeries,The Disney Channel Games,The Disney Channel Games,0,2008,,,"Family, Game-Show",6.7,220
tt12299432,tvSeries,The Romance of Tiger and Rose,Chuan wen zhong de Chen Qianqian,0,2020,2020,45,"Comedy, Drama, Fantasy",7.8,1325
tt12299458,tvSeries,My Little Happiness,Ni shi wo de xiao que xing,0,2021,,,"Drama, Romance",7.9,829
tt1229946,tvSeries,History's Mysteries,History's Mysteries,0,1998,2011,,"Documentary, History, Mystery",8.0,250
tt12299696,tvSeries,Tokyo Mew Mew New,Tokyo Mew Mew New,0,2022,2023,24,"Action, Adventure, Animation",6.1,122
tt12299732,tvSeries,Live Telecast,Live Telecast,0,2021,,32,Horror,4.0,1386
tt12299774,tvSeries,November Story,November Story,0,2021,,40,"Crime, Mystery, Thriller",7.6,7122
tt12299942,tvSeries,Time Enna Boss,Time Enna Boss,0,2020,,22,Comedy,5.7,675
tt12299956,tvSeries,Triples,Triples,0,2020,,25,Comedy,7.0,881
